file,type,dvfs_modes,energy_con,time_con,tot_time,num_evals,hv,pf_points
a,normal,8,17486.069518077762,14276.117235754124,0.11205840110778809,37,0.00999999999989086,0
a,dpll,8,17486.069518077762,14276.117235754124,7.122905969619751,33,0.00999999999989086,0
a,eq_time,8,17486.069518077762,14276.117235754124,6.453660011291504,1808,0.00999999999989086,0
file,type,dvfs_modes,energy_con,time_con,tot_time,num_evals,hv,pf_points
a,normal,8,34972.139036155524,28552.234471508247,0.09373116493225098,37,0.009999999999708962,0
a,dpll,8,34972.139036155524,28552.234471508247,7.063902854919434,33,0.009999999999708962,0
a,eq_time,8,34972.139036155524,28552.234471508247,7.6109137535095215,2170,110896799.86719172,4
file,type,dvfs_modes,energy_con,time_con,tot_time,num_evals,hv,pf_points
a,normal,8,43715.17379519441,35690.29308938531,0.20740699768066406,45,0.009999999999708962,0
a,dpll,8,43715.17379519441,35690.29308938531,15.693064212799072,69,0.009999999999708962,0
file,type,dvfs_modes,energy_con,time_con,tot_time,num_evals,hv,pf_points
a,normal,8,43715.17379519441,35690.29308938531,1.973649263381958,660,503500524.52241117,9
a,dpll,8,43715.17379519441,35690.29308938531,193.11400651931763,628,561341468.4772892,11
